id,accommodates,bedrooms,bathrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews
1584147,3,1.0,1.0,2.0,215.0,0.0,0.0,1,1125,34
8514469,4,2.0,2.0,2.0,450.0,450.0,0.0,1,1125,0
7572512,3,1.0,1.0,1.0,234.0,0.0,100.0,3,1125,0
2477330,2,1.0,1.5,1.0,110.0,0.0,10.0,2,1125,33
7916003,4,2.0,2.0,2.0,225.0,300.0,0.0,3,30,0
216398,3,1.0,1.0,1.0,249.0,0.0,0.0,4,365,4
7114075,2,1.0,1.0,1.0,109.0,500.0,45.0,1,1125,0
7258774,4,2.0,2.0,2.0,250.0,0.0,70.0,3,1125,1
3961511,4,1.0,1.0,1.0,135.0,0.0,0.0,2,1125,2
5353107,3,1.0,2.0,2.0,87.0,1000.0,40.0,2,30,2
536232,4,1.0,1.0,1.0,210.0,200.0,60.0,1,90,103
3477770,10,3.0,2.0,6.0,300.0,150.0,150.0,3,1125,5
5411135,2,0.0,1.0,1.0,189.0,0.0,0.0,4,365,0
4772168,2,1.0,1.0,1.0,120.0,0.0,0.0,1,1125,0
7474964,2,1.0,1.0,1.0,200.0,0.0,0.0,1,1,1
2707225,3,1.0,1.0,2.0,269.0,0.0,100.0,1,1125,6
7630675,3,1.0,1.0,1.0,569.0,0.0,100.0,3,1125,0
6288255,4,2.0,2.0,2.0,120.0,500.0,100.0,1,1125,3
6812558,1,1.0,1.0,1.0,109.0,0.0,0.0,2,5,1
6626883,3,1.0,1.0,1.0,150.0,0.0,25.0,2,1125,4
1562024,3,1.0,1.0,1.0,95.0,0.0,35.0,2,1125,70
6370764,4,1.0,1.0,2.0,119.0,0.0,0.0,1,20,0
8390917,2,1.0,1.0,1.0,97.0,0.0,10.0,1,1125,2
2339961,2,1.0,1.0,1.0,99.0,0.0,10.0,1,4,51
3593404,2,1.0,1.0,1.0,295.0,0.0,65.0,1,1125,28
6542545,2,1.0,1.0,1.0,149.0,150.0,0.0,2,1125,9
6911905,2,1.0,1.0,1.0,110.0,0.0,10.0,1,1125,10
8460219,5,2.0,1.0,3.0,180.0,0.0,0.0,2,366,1
7870051,2,0.0,1.0,2.0,150.0,0.0,75.0,3,1125,3
1498731,6,0.0,1.0,3.0,150.0,0.0,129.0,3,100000,24
4629445,5,2.0,2.5,2.0,155.0,99.0,90.0,2,1125,23
14570,3,1.0,1.0,2.0,85.0,150.0,0.0,3,30,338
1624943,2,1.0,1.0,1.0,130.0,0.0,0.0,1,1125,4
3421927,3,1.0,1.0,1.0,120.0,0.0,50.0,1,1125,3
6792155,2,1.0,1.0,1.0,90.0,0.0,10.0,2,1125,12
2578477,2,1.0,1.0,2.0,149.0,0.0,0.0,1,1125,47
6953508,3,1.0,1.0,1.0,569.0,0.0,100.0,3,1125,0
5691723,4,1.0,1.0,1.0,180.0,0.0,50.0,1,1125,6
6844024,1,1.0,1.0,1.0,55.0,0.0,15.0,1,14,1
3258728,4,1.0,1.0,1.0,229.0,0.0,50.0,2,720,29
8042913,2,1.0,1.0,1.0,75.0,0.0,0.0,1,1125,2
6781783,3,1.0,1.0,1.0,569.0,0.0,100.0,3,1125,0
1170249,2,1.0,1.0,1.0,105.0,0.0,0.0,1,1125,245
1287319,2,1.0,1.0,1.0,259.0,0.0,0.0,4,365,3
7769970,2,1.0,1.0,1.0,120.0,100.0,30.0,2,1125,1
5577993,3,1.0,1.0,2.0,119.0,99.0,0.0,5,1125,3
8015877,2,1.0,1.5,1.0,139.0,500.0,50.0,1,1125,0
6574122,1,1.0,1.0,1.0,90.0,100.0,120.0,1,1125,0
4427874,1,1.0,1.0,1.0,109.0,0.0,0.0,3,1125,34
2642542,4,1.0,1.0,2.0,150.0,200.0,45.0,2,90,25
1535272,5,0.0,1.0,3.0,295.0,0.0,125.0,3,999,45
176369,3,1.0,1.0,1.0,210.0,200.0,50.0,1,365,57
1529367,6,2.0,1.5,2.0,329.0,0.0,159.0,3,999,21
8081791,2,0.0,1.0,1.0,125.0,0.0,0.0,2,7,0
8532371,2,1.0,1.0,1.0,150.0,0.0,25.0,1,1125,1
1173115,3,1.0,1.0,2.0,175.0,0.0,0.0,2,15,139
7582553,3,1.0,1.0,2.0,129.0,0.0,15.0,1,1125,7
940952,2,1.0,1.0,1.0,239.0,0.0,150.0,5,730,0
801699,2,1.0,1.0,1.0,250.0,1500.0,85.0,2,1125,17
1391504,4,1.0,1.0,2.0,168.0,0.0,35.0,1,1125,136
7804254,2,1.0,1.0,1.0,79.0,0.0,12.0,2,1125,2
8534537,1,1.0,1.0,2.0,65.0,0.0,0.0,2,1125,0
3635723,4,2.0,2.0,2.0,290.0,350.0,80.0,3,365,32
8408614,6,1.0,1.0,3.0,725.0,200.0,0.0,5,30,0
7067790,2,1.0,1.0,1.0,109.0,0.0,10.0,1,1125,5
8304399,4,1.0,1.0,2.0,99.0,500.0,25.0,1,1125,3
6846210,3,1.0,1.0,1.0,569.0,0.0,100.0,3,1125,0
7132818,4,1.0,1.0,2.0,120.0,140.0,65.0,3,20,3
6370883,2,1.0,1.0,2.0,290.0,0.0,0.0,1,1125,1
3380059,3,1.0,1.0,1.0,145.0,250.0,20.0,1,31,5
343200,4,1.0,1.0,1.0,210.0,200.0,50.0,1,90,87
4588047,1,1.0,1.0,1.0,90.0,0.0,0.0,1,1125,2
8423417,2,1.0,1.0,1.0,99.0,0.0,15.0,1,1125,2
2271727,4,1.0,1.0,1.0,399.0,100.0,30.0,1,1125,16
18883,2,1.0,1.0,1.0,239.0,0.0,0.0,4,730,0
1403549,2,1.0,1.0,1.0,150.0,0.0,0.0,1,1125,4
6870636,1,1.0,1.0,1.0,199.0,0.0,71.0,7,1125,1
3710056,2,1.0,1.0,1.0,135.0,300.0,40.0,5,20,27
524237,4,1.0,1.0,1.0,295.0,0.0,0.0,1,1125,20
7257104,5,2.0,2.0,3.0,429.0,0.0,100.0,3,1125,0
892183,8,4.0,2.5,4.0,400.0,500.0,150.0,3,1125,26
5862599,6,2.0,2.0,3.0,295.0,0.0,100.0,1,1125,43
195344,4,1.0,1.5,2.0,179.0,200.0,60.0,2,730,163
20832,4,2.0,2.0,2.0,309.0,0.0,0.0,4,365,23
7109438,3,1.0,2.0,2.0,90.0,0.0,50.0,6,22,0
7053307,2,1.0,1.0,1.0,43.0,0.0,0.0,1,1125,10
7790166,1,1.0,1.0,1.0,120.0,0.0,0.0,2,3,0
6790744,4,2.0,1.0,2.0,269.0,200.0,0.0,2,1125,5
2346018,2,0.0,1.0,1.0,150.0,0.0,40.0,2,365,73
2563683,2,1.0,1.0,1.0,269.0,0.0,150.0,3,365,3
2309866,4,1.0,1.0,1.0,185.0,0.0,0.0,3,90,8
267813,2,1.0,1.0,1.0,120.0,1000.0,100.0,7,365,1
8338737,8,2.0,2.0,3.0,220.0,200.0,100.0,1,1125,0
4644205,3,1.0,1.0,2.0,99.0,1000.0,0.0,3,1125,4
8428938,2,1.0,1.0,1.0,99.0,0.0,25.0,1,1125,0
2039329,4,1.0,1.0,2.0,250.0,0.0,150.0,1,1125,6
4807923,2,1.0,1.0,1.0,249.0,0.0,150.0,3,365,4
2170732,3,1.0,1.0,2.0,259.0,0.0,100.0,3,1125,2
4378992,5,2.0,2.0,2.0,300.0,0.0,100.0,1,1125,2
34180,3,1.0,1.0,1.0,289.0,0.0,0.0,5,730,1
5946361,2,0.0,1.0,1.0,200.0,500.0,0.0,1,1125,15
5792783,2,1.0,1.0,1.0,249.0,0.0,0.0,3,365,0
7616647,1,1.0,1.0,1.0,81.0,173.0,35.0,1,1125,1
8410280,2,1.0,1.0,1.0,200.0,0.0,0.0,2,1125,0
7502313,8,2.0,1.0,4.0,194.0,0.0,89.0,1,1125,8
7039348,2,1.0,1.0,1.0,89.0,0.0,0.0,3,1125,3
811040,2,1.0,1.0,1.0,159.0,400.0,80.0,4,1125,18
8454224,2,0.0,1.0,1.0,85.0,0.0,0.0,3,6,1
1989187,4,1.0,1.0,1.0,100.0,200.0,40.0,1,1125,18
8482899,2,1.0,1.0,1.0,189.0,500.0,100.0,3,30,0
6660622,3,1.0,2.0,1.0,150.0,0.0,0.0,1,2000,1
7922208,5,2.0,1.0,3.0,175.0,175.0,55.0,2,1125,2
8291377,2,1.0,1.0,1.0,120.0,150.0,0.0,4,1125,1
7875951,3,1.0,1.0,1.0,155.0,150.0,50.0,2,1125,1
6967482,5,2.0,2.0,2.0,629.0,0.0,100.0,3,1125,0
2171039,5,2.0,2.0,3.0,311.0,0.0,100.0,3,1125,3
8286241,3,1.0,1.0,1.0,571.0,0.0,100.0,3,1125,0
762058,6,2.0,2.0,2.0,339.0,0.0,95.0,3,730,47
316796,4,1.0,1.0,2.0,210.0,0.0,50.0,1,60,28
786670,4,2.0,2.0,2.0,299.0,0.0,0.0,4,365,2
5423355,2,1.0,1.0,1.0,170.0,200.0,0.0,1,10,18
8509689,1,1.0,1.0,1.0,135.0,100.0,75.0,1,1125,0
7848895,4,2.0,1.0,2.0,245.0,200.0,100.0,1,1125,3
17377,3,1.0,1.0,1.0,249.0,0.0,150.0,3,730,1
8291438,2,1.0,1.0,1.0,99.0,100.0,10.0,1,30,5
8610929,4,0.0,1.0,1.0,149.0,1000.0,75.0,3,31,0
4240916,1,1.0,1.0,1.0,99.0,0.0,0.0,3,1125,8
5039240,6,2.0,2.0,2.0,295.0,200.0,100.0,1,1125,50
6074361,6,2.0,2.0,2.0,400.0,500.0,0.0,1,1125,0
7554288,1,1.0,1.0,1.0,65.0,0.0,0.0,1,1125,0
475420,1,1.0,1.0,1.0,99.0,200.0,45.0,4,365,54
6881600,8,2.0,1.0,4.0,179.0,100.0,40.0,1,1125,35
5020383,4,1.0,1.0,1.0,150.0,0.0,40.0,1,1125,53
6676843,4,1.0,1.0,1.0,140.0,0.0,20.0,2,1125,4
4832639,3,1.0,1.0,1.0,179.0,0.0,50.0,2,1125,1
7807724,2,1.0,1.0,2.0,135.0,150.0,75.0,2,90,4
8405767,3,1.0,1.0,2.0,250.0,0.0,60.0,4,7,0
5260553,2,1.0,1.5,1.0,95.0,0.0,0.0,1,28,44
7990478,6,2.0,1.0,2.0,170.0,500.0,75.0,2,1125,2
5952761,5,2.0,2.0,2.0,299.0,0.0,0.0,4,365,5
6404138,2,1.0,1.0,1.0,150.0,500.0,300.0,7,14,1
867430,4,1.0,1.5,1.0,250.0,250.0,65.0,1,1125,12
5307479,2,0.0,1.0,1.0,105.0,150.0,0.0,1,1125,11
7819662,3,1.0,1.0,1.0,120.0,0.0,0.0,1,1125,3
8289426,3,1.0,1.0,1.0,399.0,0.0,100.0,3,1125,0
7629993,5,2.0,2.0,2.0,629.0,0.0,100.0,3,1125,0
6953706,3,1.0,1.0,1.0,569.0,0.0,100.0,3,1125,0
3985853,2,1.0,1.0,1.0,70.0,0.0,0.0,1,1125,9
4305324,2,0.0,1.0,1.0,110.0,150.0,35.0,2,14,6
1839373,3,1.0,1.0,2.0,259.0,0.0,100.0,3,1125,4
5374980,2,1.0,1.5,1.0,99.0,0.0,20.0,3,1125,12
5145487,8,3.0,1.5,3.0,289.0,250.0,99.0,1,1125,14
4606872,4,1.0,1.0,2.0,124.0,95.0,100.0,4,1125,3
54345,2,1.0,1.0,1.0,259.0,0.0,0.0,4,730,1
8407390,2,0.0,1.0,1.0,80.0,0.0,50.0,1,1125,0
5894748,2,0.0,1.0,1.0,96.0,0.0,0.0,3,1125,12
130470,4,2.0,1.0,2.0,189.0,200.0,65.0,2,365,47
704025,3,1.0,1.0,1.0,289.0,0.0,0.0,4,1125,0
1085657,3,1.0,1.0,1.0,299.0,0.0,0.0,4,365,0
7559867,6,2.0,1.0,2.0,170.0,500.0,75.0,2,1125,9
7815293,2,1.0,1.0,1.0,130.0,0.0,5.0,2,1125,0
7225840,4,1.0,1.0,1.0,149.0,0.0,0.0,4,1125,2
1901094,3,1.0,1.0,2.0,259.0,0.0,100.0,3,1125,0
3768871,6,2.0,2.0,3.0,349.0,300.0,0.0,2,1125,19
7545928,2,1.0,1.0,1.0,78.0,0.0,25.0,1,1125,8
8356095,2,0.0,1.0,1.0,125.0,0.0,10.0,1,1125,1
4481897,2,1.0,1.0,1.0,95.0,100.0,40.0,1,1125,7
5538672,2,0.0,1.0,1.0,130.0,0.0,60.0,2,180,19
1966995,2,1.0,1.0,1.0,72.0,0.0,5.0,2,1125,22
6938781,4,1.0,1.0,2.0,175.0,250.0,65.0,14,365,3
1901533,3,1.0,1.0,2.0,246.0,0.0,100.0,3,1125,1
4457588,3,0.0,1.0,1.0,140.0,0.0,0.0,1,1125,8
6956166,2,0.0,1.0,2.0,65.0,0.0,30.0,1,1125,2
4727087,2,0.0,1.0,1.0,125.0,200.0,0.0,2,1125,42
7258693,4,1.0,1.0,1.0,85.0,225.0,17.0,1,1125,2
90734,3,1.0,1.0,1.0,309.0,0.0,0.0,3,730,3
6791838,3,1.0,1.0,1.0,569.0,0.0,100.0,3,1125,0
4580081,4,0.0,1.0,2.0,150.0,2500.0,50.0,2,1125,1
623373,4,2.0,0.0,2.0,279.0,0.0,0.0,4,1125,5
4266897,4,1.0,1.0,2.0,154.0,0.0,0.0,2,365,35
5047724,4,1.0,1.0,2.0,165.0,0.0,0.0,2,1125,17
2262461,3,1.0,1.0,2.0,149.0,100.0,45.0,3,93,25
8160707,2,0.0,1.0,1.0,104.0,0.0,0.0,1,1125,2
2594382,1,1.0,1.0,1.0,125.0,0.0,0.0,2,5,5
4408795,3,1.0,1.0,2.0,259.0,0.0,100.0,3,1125,0
8446490,3,1.0,1.0,1.0,155.0,100.0,49.0,1,1125,0
1079181,2,1.0,1.0,1.0,259.0,0.0,100.0,4,730,2
100440,3,1.0,1.0,1.0,189.0,150.0,0.0,6,30,30
1853555,4,1.0,1.0,1.0,110.0,0.0,0.0,1,1125,12
7112427,1,1.0,1.0,1.0,58.0,0.0,15.0,1,1125,14
3090274,2,1.0,1.0,1.0,68.0,0.0,38.0,4,365,7
1058667,4,2.0,2.0,2.0,309.0,0.0,0.0,4,365,5
3047590,2,1.0,1.5,1.0,160.0,600.0,120.0,5,1000,1
7604187,2,1.0,1.0,2.0,80.0,300.0,0.0,1,1125,0
6797009,3,1.0,1.0,1.0,569.0,0.0,100.0,3,1125,0
8407813,4,1.0,1.0,1.0,103.0,0.0,50.0,1,1125,0
5870042,5,2.0,2.0,2.0,629.0,0.0,100.0,3,1125,0
5114143,5,2.0,2.0,3.0,324.0,0.0,100.0,3,1125,5
5220930,2,0.0,1.0,1.0,90.0,0.0,0.0,7,1125,2
155756,4,2.0,2.0,2.0,329.0,0.0,150.0,3,365,8
1065411,4,2.0,2.0,2.0,299.0,0.0,150.0,3,1125,3
248536,5,2.0,2.0,2.0,349.0,0.0,150.0,4,365,10
6645543,3,0.0,1.0,1.0,95.0,0.0,0.0,1,1125,0
240495,3,1.0,1.0,1.0,189.0,150.0,0.0,6,30,22
2590533,5,2.0,2.0,3.0,324.0,0.0,100.0,3,1125,2
5202425,4,0.0,1.0,1.0,100.0,500.0,50.0,4,180,1
6221367,4,2.0,2.0,2.0,299.0,0.0,200.0,3,1125,2
7131054,4,1.0,1.0,1.0,215.0,200.0,65.0,2,5,0
1003509,5,2.0,2.0,2.0,319.0,0.0,150.0,4,365,10
924924,2,0.0,1.0,1.0,155.0,0.0,150.0,3,1125,6
36541,3,1.0,1.0,1.0,209.0,0.0,150.0,5,730,3
807680,2,1.0,1.0,1.0,249.0,0.0,0.0,4,730,0
2641263,4,2.0,2.0,2.0,329.0,0.0,0.0,4,365,0
7615495,2,0.0,1.0,1.0,99.0,0.0,55.0,1,1125,6
4565171,5,2.0,2.0,3.0,324.0,0.0,100.0,3,1125,2
8303678,4,2.0,1.0,2.0,168.0,0.0,0.0,2,29,0
6214131,4,2.0,1.5,2.0,215.0,100.0,50.0,2,1125,2
234238,2,0.0,1.0,1.0,159.0,0.0,150.0,3,365,9
6968141,5,2.0,2.0,2.0,629.0,0.0,100.0,3,1125,0
6181730,5,2.0,2.0,2.0,629.0,0.0,100.0,3,1125,0
6878647,2,1.0,1.5,1.0,89.0,0.0,0.0,2,1125,1
3020248,1,1.0,1.0,1.0,36.0,0.0,0.0,1,1125,30
8541684,2,0.0,1.0,1.0,100.0,0.0,0.0,1,1125,0
7910362,2,1.0,1.0,1.0,115.0,0.0,0.0,1,5,10
34000,2,0.0,1.0,1.0,239.0,0.0,0.0,7,365,1
7853213,1,1.0,1.0,1.0,100.0,0.0,0.0,1,10,0
1029369,3,1.0,1.0,1.0,189.0,0.0,150.0,5,730,0
5870899,2,0.0,1.0,1.0,159.0,0.0,150.0,3,1125,2
8615548,1,1.0,1.0,1.0,100.0,0.0,0.0,1,1125,0
4258011,1,1.0,1.0,1.0,100.0,0.0,10.0,1,1125,28
3930336,2,1.0,1.0,1.0,160.0,600.0,120.0,3,1000,6
8034375,2,1.0,1.5,1.0,130.0,0.0,0.0,1,1125,0
5003334,4,1.0,1.0,2.0,125.0,500.0,45.0,2,1125,24
4385129,3,0.0,1.0,2.0,115.0,0.0,60.0,2,1125,63
2570378,4,1.0,1.0,2.0,189.0,0.0,0.0,3,14,6
8632665,4,1.0,1.0,2.0,140.0,500.0,50.0,1,1125,0
8443024,4,1.0,1.0,2.0,1000.0,0.0,0.0,2,5,0
5814764,3,1.0,1.0,2.0,165.0,0.0,0.0,1,1125,19
3151012,2,0.0,1.0,1.0,115.0,300.0,30.0,2,26,4
22943,3,1.0,0.0,1.0,249.0,0.0,0.0,3,365,1
6986245,2,1.0,1.0,1.0,132.0,400.0,95.0,3,1125,1
2378200,2,1.0,1.0,1.0,189.0,0.0,0.0,1,1125,10
6397726,1,1.0,1.0,1.0,79.0,0.0,0.0,1,1125,0
605953,2,1.0,1.0,1.0,239.0,0.0,150.0,3,365,1
965878,2,1.0,1.0,1.0,150.0,500.0,100.0,7,1000,3
