id,id,host_listings_count,host_response_rate,host_acceptance_rate,accommodates,bedrooms,bathrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,neighbourhood_cleansed,latitude,longitude
6487391,6487391,2,90%,100%,2,1.0,1.0,1.0,$177.00 ,,$60.00 ,1,60,4,"Dupont Circle, Connecticut Avenue/K Street",38.90923732,-77.04646684
7820526,7820526,4,100%,85%,6,2.0,1.0,4.0,$169.00 ,$250.00 ,$95.00 ,1,1125,1,"Dupont Circle, Connecticut Avenue/K Street",38.91631931,-77.04241231
1961889,1961889,1,100%,71%,2,0.0,1.0,2.0,$85.00 ,$200.00 ,$35.00 ,5,30,31,"Dupont Circle, Connecticut Avenue/K Street",38.9072631,-77.03501464
5570026,5570026,23,92%,99%,2,1.0,0.0,1.0,$100.00 ,,,1,1125,15,"Dupont Circle, Connecticut Avenue/K Street",38.90737644,-77.04477952
6184436,6184436,1,,,3,1.0,1.0,1.0,$200.00 ,,,1,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.9121976,-77.04104744
2694647,2694647,7,100%,94%,2,1.0,1.0,1.0,$105.00 ,,$50.00 ,7,450,12,"Dupont Circle, Connecticut Avenue/K Street",38.918221700000004,-77.03635426
2964999,2964999,5,100%,100%,10,1.0,2.5,5.0,$99.00 ,,$50.00 ,7,365,2,"Dupont Circle, Connecticut Avenue/K Street",38.91508629,-77.03956398
3583410,3583410,3,,,2,1.0,1.0,1.0,$100.00 ,,,4,1125,2,"Dupont Circle, Connecticut Avenue/K Street",38.910466299999996,-77.03823953
7733108,7733108,6,100%,84%,6,2.0,1.0,4.0,$189.00 ,$250.00 ,$95.00 ,1,1125,2,"Dupont Circle, Connecticut Avenue/K Street",38.91406294,-77.04507262
5578617,5578617,23,92%,99%,2,1.0,1.0,1.0,$120.00 ,,,1,1125,4,"Dupont Circle, Connecticut Avenue/K Street",38.91594427,-77.03866237
5570446,5570446,23,92%,99%,1,1.0,0.0,1.0,$95.00 ,,,1,1125,27,"Dupont Circle, Connecticut Avenue/K Street",38.90715734,-77.04262622
837109,837109,1,50%,0%,6,2.0,1.0,2.0,$150.00 ,$200.00 ,$75.00 ,2,5,8,"Dupont Circle, Connecticut Avenue/K Street",38.91236663,-77.03654297
2436595,2436595,49,98%,52%,2,0.0,1.0,1.0,$175.00 ,,,3,90,3,"Dupont Circle, Connecticut Avenue/K Street",38.91280677,-77.03943918
1162095,1162095,1,100%,50%,2,1.0,2.0,1.0,$150.00 ,,,3,1125,4,"Dupont Circle, Connecticut Avenue/K Street",38.90893912,-77.04470639
7816551,7816551,2,100%,92%,2,1.0,1.0,1.0,$160.00 ,$99.00 ,$75.00 ,2,1125,1,"Dupont Circle, Connecticut Avenue/K Street",38.91211336,-77.03793611
1301700,1301700,1,,,2,1.0,1.0,1.0,$79.00 ,,,3,15,4,"Dupont Circle, Connecticut Avenue/K Street",38.90684453,-77.03475492
2123168,2123168,12,100%,94%,2,1.0,1.0,1.0,$85.00 ,,,2,98,14,"Dupont Circle, Connecticut Avenue/K Street",38.9170724,-77.03802221
6759818,6759818,1,100%,100%,2,0.0,1.0,1.0,$150.00 ,,,1,1125,6,"Dupont Circle, Connecticut Avenue/K Street",38.90690328,-77.03681554
1789725,1789725,12,100%,94%,2,1.0,1.0,1.0,$90.00 ,,,2,95,3,"Dupont Circle, Connecticut Avenue/K Street",38.91614908,-77.04022271
1969772,1969772,2,100%,58%,1,1.0,1.0,1.0,$100.00 ,$100.00 ,$25.00 ,1,1125,25,"Dupont Circle, Connecticut Avenue/K Street",38.91199233,-77.03657337
6325652,6325652,1,,,2,0.0,1.0,1.0,$150.00 ,,$80.00 ,3,1125,3,"Dupont Circle, Connecticut Avenue/K Street",38.90928818,-77.0456587
8408941,8408941,1,100%,50%,4,1.0,1.0,1.0,$100.00 ,,$200.00 ,5,32,0,"Dupont Circle, Connecticut Avenue/K Street",38.90867953,-77.04708433
2142150,2142150,1,100%,94%,4,1.0,1.0,1.0,$215.00 ,$250.00 ,$70.00 ,2,1125,34,"Dupont Circle, Connecticut Avenue/K Street",38.91016339,-77.0418558
22453,22453,4,100%,80%,1,1.0,1.0,1.0,$95.00 ,,,1,5,74,"Dupont Circle, Connecticut Avenue/K Street",38.90932655,-77.03484464
6515171,6515171,1,100%,100%,3,0.0,1.0,1.0,$130.00 ,,$25.00 ,1,5,0,"Dupont Circle, Connecticut Avenue/K Street",38.91781158,-77.03922381
1198049,1198049,32,99%,96%,2,,1.0,1.0,$125.00 ,$100.00 ,$45.00 ,4,365,36,"Dupont Circle, Connecticut Avenue/K Street",38.91520693,-77.04424485
3360744,3360744,2,,100%,2,0.0,1.0,1.0,$130.00 ,,,1,1125,2,"Dupont Circle, Connecticut Avenue/K Street",38.90820097,-77.04586636
2478422,2478422,1,50%,50%,4,1.0,1.5,1.0,$120.00 ,,,4,365,3,"Dupont Circle, Connecticut Avenue/K Street",38.90570919,-77.04599941
870948,870948,1,,,2,1.0,1.0,1.0,$105.00 ,,,1,1125,8,"Dupont Circle, Connecticut Avenue/K Street",38.9176338,-77.03939588
6088740,6088740,1,100%,75%,3,1.0,1.0,3.0,$176.00 ,$300.00 ,$30.00 ,1,1125,20,"Dupont Circle, Connecticut Avenue/K Street",38.91461631,-77.04222299
1550495,1550495,30,92%,94%,6,2.0,2.5,3.0,$495.00 ,,$175.00 ,3,1125,27,"Dupont Circle, Connecticut Avenue/K Street",38.91208994,-77.04760756
4279890,4279890,1,80%,90%,3,1.0,1.0,1.0,$110.00 ,,$20.00 ,2,7,8,"Dupont Circle, Connecticut Avenue/K Street",38.91204381,-77.0413024
8153301,8153301,1,100%,75%,2,1.0,1.0,,$99.00 ,,$50.00 ,3,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.9139446,-77.04422603
1198315,1198315,32,99%,96%,2,,1.0,1.0,$135.00 ,$100.00 ,$45.00 ,4,365,47,"Dupont Circle, Connecticut Avenue/K Street",38.91513784,-77.04338211
4054058,4054058,1,60%,80%,1,1.0,1.0,1.0,$65.00 ,,,1,1125,1,"Dupont Circle, Connecticut Avenue/K Street",38.90558084,-77.03621690000001
5314716,5314716,1,100%,100%,2,1.0,1.0,1.0,$110.00 ,$200.00 ,$30.00 ,2,1125,4,"Dupont Circle, Connecticut Avenue/K Street",38.91379328,-77.0465036
6288706,6288706,1,100%,100%,1,0.0,1.0,1.0,$105.00 ,$500.00 ,$25.00 ,5,31,9,"Dupont Circle, Connecticut Avenue/K Street",38.909611100000006,-77.03523019
4923534,4923534,1,86%,100%,2,1.0,1.0,1.0,$119.00 ,,$50.00 ,1,1125,10,"Dupont Circle, Connecticut Avenue/K Street",38.9145884,-77.03675428
8338969,8338969,3,60%,92%,2,0.0,1.0,1.0,$99.00 ,,$75.00 ,1,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.91706517,-77.04002154
1655517,1655517,49,98%,52%,6,2.0,1.5,3.0,$225.00 ,,,3,90,18,"Dupont Circle, Connecticut Avenue/K Street",38.91714182,-77.03807703
5570591,5570591,23,92%,99%,2,1.0,1.0,1.0,$105.00 ,,,1,1125,6,"Dupont Circle, Connecticut Avenue/K Street",38.90812583,-77.04324878
8308059,8308059,2,100%,100%,3,0.0,1.0,1.0,$140.00 ,$140.00 ,$60.00 ,2,25,1,"Dupont Circle, Connecticut Avenue/K Street",38.91521963,-77.03828001
7771546,7771546,2,100%,75%,2,1.0,1.5,1.0,$125.00 ,$100.00 ,$30.00 ,3,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.91373672,-77.03524361
7457615,7457615,1,100%,33%,4,2.0,1.0,2.0,$250.00 ,,,1,1125,1,"Dupont Circle, Connecticut Avenue/K Street",38.91397076,-77.03963420000001
8453546,8453546,1,90%,74%,2,1.0,1.0,1.0,$90.00 ,,$50.00 ,1,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.90623395,-77.03460483
6742510,6742510,3,81%,90%,2,1.0,1.0,1.0,$70.00 ,,,1,1125,2,"Dupont Circle, Connecticut Avenue/K Street",38.91706832,-77.03940859
5669372,5669372,1,100%,40%,4,1.0,1.0,2.0,$200.00 ,,,1,1125,4,"Dupont Circle, Connecticut Avenue/K Street",38.90885042,-77.03832075
9641,9641,4,100%,80%,2,1.0,1.0,1.0,$215.00 ,$500.00 ,$130.00 ,2,180,65,"Dupont Circle, Connecticut Avenue/K Street",38.9114648,-77.03636078
1466883,1466883,1,100%,100%,3,1.0,1.0,1.0,$135.00 ,$350.00 ,$75.00 ,2,30,26,"Dupont Circle, Connecticut Avenue/K Street",38.91048765,-77.04867455
8028708,8028708,1,94%,56%,2,1.0,1.0,1.0,$120.00 ,$300.00 ,,2,1125,1,"Dupont Circle, Connecticut Avenue/K Street",38.910279200000005,-77.03932217
7438892,7438892,1,90%,100%,2,1.0,1.0,1.0,$90.00 ,,,1,1125,8,"Dupont Circle, Connecticut Avenue/K Street",38.90295607,-77.04954168
1319473,1319473,480,58%,51%,4,1.0,1.0,1.0,$259.00 ,,,4,730,1,"Dupont Circle, Connecticut Avenue/K Street",38.90284471,-77.04929356
1761846,1761846,1,100%,,2,1.0,1.0,1.0,$125.00 ,$250.00 ,$125.00 ,27,1125,5,"Dupont Circle, Connecticut Avenue/K Street",38.90834674,-77.04938994
1066025,1066025,2,90%,82%,2,1.0,1.0,1.0,$125.00 ,,,2,5,18,"Dupont Circle, Connecticut Avenue/K Street",38.91034026,-77.03888948
8170185,8170185,1,40%,93%,2,1.0,1.0,1.0,$84.00 ,$300.00 ,,1,1125,3,"Dupont Circle, Connecticut Avenue/K Street",38.91029847,-77.03816765
860336,860336,2,100%,96%,4,1.0,1.0,2.0,$99.00 ,$200.00 ,$40.00 ,1,1125,170,"Dupont Circle, Connecticut Avenue/K Street",38.90897298,-77.04718368
4538581,4538581,1,,,1,1.0,2.0,1.0,$100.00 ,,,2,1125,11,"Dupont Circle, Connecticut Avenue/K Street",38.91506817,-77.03814200000001
5441474,5441474,2,100%,100%,3,1.0,1.0,1.0,$149.00 ,,,2,1125,46,"Dupont Circle, Connecticut Avenue/K Street",38.91231984,-77.03766542
1716922,1716922,4,100%,99%,4,1.0,1.0,2.0,$168.00 ,,$35.00 ,1,1125,150,"Dupont Circle, Connecticut Avenue/K Street",38.91060839,-77.03694265
1762194,1762194,2,100%,100%,2,1.0,1.0,1.0,$99.00 ,,$50.00 ,1,1125,24,"Dupont Circle, Connecticut Avenue/K Street",38.91501453,-77.03865427
6488981,6488981,1,,,2,1.0,1.0,1.0,$120.00 ,,,1,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.9123379,-77.03629366
6554995,6554995,1,100%,73%,2,0.0,1.0,2.0,$120.00 ,$95.00 ,$50.00 ,1,7,6,"Dupont Circle, Connecticut Avenue/K Street",38.9071524,-77.03637352
7349166,7349166,2,100%,100%,2,1.0,1.0,1.0,$121.00 ,,$75.00 ,2,1125,1,"Dupont Circle, Connecticut Avenue/K Street",38.91053293,-77.04876457
5665997,5665997,1,50%,100%,2,0.0,1.0,1.0,$229.00 ,,,1,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.90716522,-77.03579067
3072944,3072944,8,81%,95%,2,0.0,1.0,1.0,$85.00 ,$200.00 ,$65.00 ,1,1125,55,"Dupont Circle, Connecticut Avenue/K Street",38.916127100000004,-77.04083307
1950650,1950650,2,80%,100%,3,0.0,1.0,1.0,$300.00 ,$300.00 ,$50.00 ,2,1125,14,"Dupont Circle, Connecticut Avenue/K Street",38.90946579,-77.04533048
7439377,7439377,1,100%,95%,2,0.0,1.0,1.0,$75.00 ,,$100.00 ,1,1125,4,"Dupont Circle, Connecticut Avenue/K Street",38.91365614,-77.04550668
7939196,7939196,2,90%,100%,2,1.0,1.0,1.0,$177.00 ,,$80.00 ,2,90,0,"Dupont Circle, Connecticut Avenue/K Street",38.908382200000005,-77.04787215
2483350,2483350,1,90%,29%,1,1.0,1.0,1.0,$95.00 ,$95.00 ,,2,1125,19,"Dupont Circle, Connecticut Avenue/K Street",38.91138664,-77.03545720000001
1112617,1112617,1,92%,95%,2,1.0,1.0,1.0,$125.00 ,,$30.00 ,1,1125,18,"Dupont Circle, Connecticut Avenue/K Street",38.91550981,-77.04344794
2523657,2523657,30,92%,94%,4,1.0,1.5,2.0,$89.00 ,,$155.00 ,3,1125,14,"Dupont Circle, Connecticut Avenue/K Street",38.91393634,-77.04057058
5955860,5955860,2,93%,100%,3,1.0,1.0,2.0,$175.00 ,$220.00 ,$20.00 ,1,1125,19,"Dupont Circle, Connecticut Avenue/K Street",38.90981485,-77.04612379
2400307,2400307,1,100%,100%,2,0.0,1.0,1.0,$100.00 ,,,1,1125,4,"Dupont Circle, Connecticut Avenue/K Street",38.91421164,-77.04268063
7729211,7729211,1,100%,50%,4,2.0,1.5,2.0,$150.00 ,,$30.00 ,2,1125,1,"Dupont Circle, Connecticut Avenue/K Street",38.918010100000004,-77.03775121
6939002,6939002,1,,,2,0.0,1.0,1.0,$100.00 ,,,1,1125,1,"Dupont Circle, Connecticut Avenue/K Street",38.91780215,-77.03638271
6447693,6447693,1,100%,100%,6,3.0,1.5,4.0,$300.00 ,,$230.00 ,3,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.91550742,-77.03911031
269073,269073,2,90%,100%,1,1.0,1.0,1.0,$75.00 ,,$10.00 ,6,60,6,"Dupont Circle, Connecticut Avenue/K Street",38.91211202,-77.04589759
7414385,7414385,2,100%,96%,2,1.0,1.0,1.0,$89.00 ,,,2,1125,6,"Dupont Circle, Connecticut Avenue/K Street",38.91325642,-77.04423855
7938680,7938680,1,67%,100%,2,1.0,1.0,1.0,$120.00 ,,,2,1125,1,"Dupont Circle, Connecticut Avenue/K Street",38.91248205,-77.03853251
6885325,6885325,1,100%,100%,1,0.0,1.0,1.0,$116.00 ,,,1,1125,5,"Dupont Circle, Connecticut Avenue/K Street",38.91126849,-77.03639078
3236561,3236561,2,100%,100%,2,1.0,1.0,1.0,$125.00 ,$100.00 ,$45.00 ,3,1125,10,"Dupont Circle, Connecticut Avenue/K Street",38.91324537,-77.04245368
2919615,2919615,2,100%,58%,4,1.0,1.0,2.0,$90.00 ,,,1,30,56,"Dupont Circle, Connecticut Avenue/K Street",38.91747362,-77.03752434
6103771,6103771,1,100%,82%,2,1.0,1.0,1.0,$129.00 ,,$25.00 ,1,1125,8,"Dupont Circle, Connecticut Avenue/K Street",38.91392454,-77.04247326
6089077,6089077,1,100%,100%,4,1.0,1.0,2.0,$175.00 ,,$40.00 ,1,1125,48,"Dupont Circle, Connecticut Avenue/K Street",38.90909503,-77.04094181
6472436,6472436,1,,100%,3,1.0,1.0,1.0,$200.00 ,,,1,1125,1,"Dupont Circle, Connecticut Avenue/K Street",38.91690425,-77.03733044
8389934,8389934,1,100%,94%,2,0.0,1.0,1.0,$97.00 ,,$50.00 ,1,1125,2,"Dupont Circle, Connecticut Avenue/K Street",38.90995822,-77.03648504
8570620,8570620,1,,,3,0.0,1.0,2.0,$105.00 ,,,1,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.91055811,-77.03798618
639189,639189,3,100%,97%,1,1.0,,1.0,$40.00 ,,,1,1125,104,"Dupont Circle, Connecticut Avenue/K Street",38.91383879,-77.03867718
223032,223032,3,100%,97%,2,1.0,,1.0,$105.00 ,,,1,365,239,"Dupont Circle, Connecticut Avenue/K Street",38.91084201,-77.03794044
3090266,3090266,1,100%,100%,2,0.0,1.0,1.0,$175.00 ,,$30.00 ,2,4,6,"Dupont Circle, Connecticut Avenue/K Street",38.908553399999995,-77.04032746
5933356,5933356,23,92%,99%,2,1.0,1.0,1.0,$95.00 ,,,1,1125,10,"Dupont Circle, Connecticut Avenue/K Street",38.91450261,-77.03795825
3991408,3991408,4,100%,99%,4,1.0,1.0,2.0,$148.00 ,,$35.00 ,1,1125,94,"Dupont Circle, Connecticut Avenue/K Street",38.90766446,-77.03483492
7514936,7514936,1,100%,100%,1,1.0,1.0,1.0,$68.00 ,,$7.00 ,1,1125,3,"Dupont Circle, Connecticut Avenue/K Street",38.90741429,-77.03665508
8235348,8235348,1,100%,100%,1,1.0,1.0,1.0,$79.00 ,,$15.00 ,1,5,2,"Dupont Circle, Connecticut Avenue/K Street",38.91742024,-77.03853249
7800582,7800582,6,100%,25%,1,1.0,1.0,1.0,$132.00 ,,$75.00 ,5,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.90907338,-77.04529166
4083095,4083095,1,100%,100%,2,1.0,1.0,1.0,$140.00 ,$250.00 ,$50.00 ,3,20,57,"Dupont Circle, Connecticut Avenue/K Street",38.91392396,-77.04083315
7896868,7896868,4,100%,100%,3,1.0,1.0,1.0,$125.00 ,$100.00 ,$40.00 ,2,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.91030648,-77.03847861
1454266,1454266,2,100%,71%,3,1.0,1.0,1.0,$107.00 ,$200.00 ,$50.00 ,2,1125,17,"Dupont Circle, Connecticut Avenue/K Street",38.910525799999995,-77.04003191
3412407,3412407,1,83%,100%,3,1.0,1.0,1.0,$199.00 ,$500.00 ,$75.00 ,2,1125,16,"Dupont Circle, Connecticut Avenue/K Street",38.91199791,-77.041628
5581398,5581398,23,92%,99%,2,1.0,1.0,1.0,$105.00 ,,,1,1125,9,"Dupont Circle, Connecticut Avenue/K Street",38.91428534,-77.03723955
8633088,8633088,4,,,4,1.0,1.0,2.0,$159.00 ,$150.00 ,$75.00 ,1,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.91583243,-77.04323258
1665638,1665638,32,99%,96%,3,0.0,1.0,2.0,$129.00 ,$100.00 ,$45.00 ,4,365,26,"Dupont Circle, Connecticut Avenue/K Street",38.91248212,-77.04259668
2455107,2455107,1,92%,100%,3,1.0,1.0,1.0,$168.00 ,$500.00 ,$75.00 ,4,1125,23,"Dupont Circle, Connecticut Avenue/K Street",38.9089824,-77.03818349
1092713,1092713,2,100%,96%,6,1.0,1.0,2.0,$169.00 ,$300.00 ,,1,30,119,"Dupont Circle, Connecticut Avenue/K Street",38.90876813,-77.04702894
4533376,4533376,1,93%,89%,3,0.0,1.0,1.0,$100.00 ,,$25.00 ,1,1125,4,"Dupont Circle, Connecticut Avenue/K Street",38.91859435,-77.03502445
7310503,7310503,2,100%,25%,1,1.0,1.0,1.0,$78.00 ,,,1,1125,1,"Dupont Circle, Connecticut Avenue/K Street",38.91532384,-77.04217325
2649282,2649282,3,100%,95%,2,1.0,1.0,1.0,$120.00 ,$250.00 ,$50.00 ,6,365,13,"Dupont Circle, Connecticut Avenue/K Street",38.91039688,-77.04165374
4410576,4410576,2,92%,67%,2,1.0,1.0,1.0,$90.00 ,,$35.00 ,5,23,3,"Dupont Circle, Connecticut Avenue/K Street",38.91236503,-77.03820796
8588534,8588534,2,100%,80%,6,2.0,1.0,2.0,$200.00 ,,$20.00 ,2,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.91718248,-77.03918786
3861182,3861182,8,81%,95%,2,0.0,1.0,1.0,$85.00 ,$200.00 ,$65.00 ,1,60,30,"Dupont Circle, Connecticut Avenue/K Street",38.91216245,-77.03802234
959794,959794,8,81%,95%,2,1.0,1.0,1.0,$85.00 ,$200.00 ,$65.00 ,1,365,127,"Dupont Circle, Connecticut Avenue/K Street",38.90775495,-77.03542320000001
2289889,2289889,1,81%,89%,2,0.0,1.0,1.0,$125.00 ,$200.00 ,$20.00 ,3,45,48,"Dupont Circle, Connecticut Avenue/K Street",38.91408702,-77.04380766
3245393,3245393,1,100%,75%,3,1.0,1.0,1.0,$150.00 ,$100.00 ,,2,1125,6,"Dupont Circle, Connecticut Avenue/K Street",38.91465652,-77.04447718
4130156,4130156,1,62%,71%,3,1.0,1.0,1.0,$90.00 ,,$20.00 ,1,10,18,"Dupont Circle, Connecticut Avenue/K Street",38.91056264,-77.04966941
2123124,2123124,12,100%,94%,2,1.0,1.0,1.0,$99.00 ,,,2,180,31,"Dupont Circle, Connecticut Avenue/K Street",38.91698812,-77.03997797
7599680,7599680,6,100%,84%,3,0.0,1.0,2.0,$139.00 ,$150.00 ,$75.00 ,1,1125,1,"Dupont Circle, Connecticut Avenue/K Street",38.914428799999996,-77.04302899
4359559,4359559,1,100%,100%,3,1.0,1.0,1.0,$174.00 ,$250.00 ,$50.00 ,2,1125,25,"Dupont Circle, Connecticut Avenue/K Street",38.91536282,-77.04295447
1754897,1754897,1,67%,50%,2,1.0,1.0,1.0,$99.00 ,$300.00 ,$45.00 ,3,30,12,"Dupont Circle, Connecticut Avenue/K Street",38.9119922,-77.03720227
7276316,7276316,2,100%,25%,4,2.0,2.0,2.0,$150.00 ,,,1,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.91541486,-77.04286698
8365864,8365864,1,70%,100%,1,0.0,1.0,1.0,$66.00 ,,,3,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.91062326,-77.03613157
7003034,7003034,1,100%,100%,3,0.0,1.0,2.0,$84.00 ,,$40.00 ,1,1125,6,"Dupont Circle, Connecticut Avenue/K Street",38.91514785,-77.03947199
5735876,5735876,1,83%,100%,2,1.0,1.0,1.0,$100.00 ,,,1,1125,4,"Dupont Circle, Connecticut Avenue/K Street",38.91465013,-77.04203512
8390124,8390124,1,,,6,2.0,2.0,2.0,$700.00 ,,,1,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.91709371,-77.03659444
4455938,4455938,2,90%,100%,2,0.0,1.0,1.0,$110.00 ,$200.00 ,$60.00 ,1,1125,28,"Dupont Circle, Connecticut Avenue/K Street",38.906996,-77.04490784
3071855,3071855,8,81%,95%,2,0.0,1.0,1.0,$85.00 ,$200.00 ,$65.00 ,1,1125,42,"Dupont Circle, Connecticut Avenue/K Street",38.90831531,-77.03599797
8488469,8488469,1,81%,85%,1,1.0,1.0,1.0,$41.00 ,,,1,1125,1,"Dupont Circle, Connecticut Avenue/K Street",38.91424336,-77.04208753
6768161,6768161,7,97%,63%,2,0.0,1.0,1.0,$109.00 ,$300.00 ,$65.00 ,6,1125,1,"Dupont Circle, Connecticut Avenue/K Street",38.90340849,-77.04902909
8496680,8496680,1,,,5,2.0,1.0,2.0,$175.00 ,,,1,2,0,"Dupont Circle, Connecticut Avenue/K Street",38.91611941,-77.03951874
8185124,8185124,1,64%,61%,2,1.0,1.0,2.0,$80.00 ,,,1,1125,1,"Dupont Circle, Connecticut Avenue/K Street",38.91140006,-77.03938828
1066361,1066361,1,88%,80%,3,1.0,1.0,1.0,$150.00 ,,,1,1125,9,"Dupont Circle, Connecticut Avenue/K Street",38.91257238,-77.03813798
7348502,7348502,1,33%,,4,2.0,1.5,2.0,$299.00 ,,$90.00 ,3,40,0,"Dupont Circle, Connecticut Avenue/K Street",38.91447328,-77.03919478
8295372,8295372,3,92%,94%,16,1.0,2.0,1.0,$499.00 ,,,1,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.90610404,-77.04083461
2295809,2295809,1,67%,86%,2,1.0,1.0,1.0,$100.00 ,,$60.00 ,2,1125,17,"Dupont Circle, Connecticut Avenue/K Street",38.91072131,-77.03995098
211986,211986,5,90%,86%,3,1.0,1.0,2.0,$159.00 ,,,2,365,5,"Dupont Circle, Connecticut Avenue/K Street",38.91362061,-77.04686593
8505477,8505477,1,100%,100%,2,0.0,1.0,1.0,$175.00 ,$250.00 ,,2,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.90763454,-77.04487106
8505480,8505480,1,33%,100%,1,0.0,1.0,1.0,$64.00 ,,,4,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.91202958,-77.04425631
6973123,6973123,1,100%,100%,2,1.0,1.0,1.0,$80.00 ,$150.00 ,$25.00 ,1,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.91090671,-77.03922544
4725792,4725792,1,,,1,1.0,0.5,1.0,$50.00 ,,,7,20,0,"Dupont Circle, Connecticut Avenue/K Street",38.91061812,-77.04255146
7629141,7629141,3,81%,90%,4,2.0,2.0,2.0,$200.00 ,,,1,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.91746086,-77.03931504
7730327,7730327,1,100%,100%,4,1.0,1.0,1.0,$140.00 ,$200.00 ,$50.00 ,1,10,0,"Dupont Circle, Connecticut Avenue/K Street",38.91528169,-77.04269702
3861766,3861766,3,100%,100%,2,1.0,1.0,1.0,$145.00 ,$300.00 ,$65.00 ,2,1125,32,"Dupont Circle, Connecticut Avenue/K Street",38.91469703,-77.04176116
8391167,8391167,1,100%,50%,1,1.0,1.0,1.0,$110.00 ,,$15.00 ,2,1125,1,"Dupont Circle, Connecticut Avenue/K Street",38.91108658,-77.03459625
3329489,3329489,1,,,2,1.0,1.0,1.0,$128.00 ,,$20.00 ,1,1125,0,"Dupont Circle, Connecticut Avenue/K Street",38.91806404,-77.03817459
5806676,5806676,1,100%,100%,2,1.0,1.0,1.0,$215.00 ,,,3,29,3,"Dupont Circle, Connecticut Avenue/K Street",38.90717969,-77.0365028
3554014,3554014,1,90%,100%,2,0.0,1.0,1.0,$115.00 ,$100.00 ,$55.00 ,2,30,59,"Dupont Circle, Connecticut Avenue/K Street",38.91412159,-77.03751956
7813901,7813901,1,90%,75%,2,1.0,1.0,1.0,$68.00 ,,,2,30,2,"Dupont Circle, Connecticut Avenue/K Street",38.91300764,-77.04253948
4332959,4332959,1,68%,77%,2,1.0,1.0,1.0,$129.00 ,$95.00 ,$8.00 ,1,1125,37,"Dupont Circle, Connecticut Avenue/K Street",38.912186299999995,-77.0360457
5569874,5569874,23,92%,99%,2,1.0,1.0,1.0,$120.00 ,,,1,1125,11,"Dupont Circle, Connecticut Avenue/K Street",38.90877459,-77.04295255
2719463,2719463,2,90%,100%,1,1.0,1.0,1.0,$75.00 ,,$10.00 ,14,180,12,"Dupont Circle, Connecticut Avenue/K Street",38.91297961,-77.04605125
2808417,2808417,1,100%,100%,3,1.0,1.0,1.0,$140.00 ,$200.00 ,$50.00 ,2,1125,36,"Dupont Circle, Connecticut Avenue/K Street",38.91816271,-77.03716814
3389960,3389960,1,100%,100%,4,1.0,1.0,1.0,$125.00 ,,,1,1125,10,"Dupont Circle, Connecticut Avenue/K Street",38.91033569,-77.03541367
4217247,4217247,1,100%,,2,1.0,1.0,1.0,$99.00 ,,,2,1125,6,"Dupont Circle, Connecticut Avenue/K Street",38.91739219,-77.03775317
4668350,4668350,1,100%,100%,4,1.0,1.0,2.0,$250.00 ,$100.00 ,$25.00 ,1,1125,21,"Dupont Circle, Connecticut Avenue/K Street",38.90929397,-77.04568619
5570273,5570273,23,92%,99%,2,1.0,0.0,1.0,$100.00 ,,,1,1125,19,"Dupont Circle, Connecticut Avenue/K Street",38.90699447,-77.04468299
161913,161913,5,90%,86%,3,1.0,1.0,2.0,$209.00 ,,,2,1125,5,"Dupont Circle, Connecticut Avenue/K Street",38.91192715,-77.04566089
6346855,6346855,3,100%,97%,4,1.0,1.0,1.0,$196.00 ,,,1,1125,19,"Dupont Circle, Connecticut Avenue/K Street",38.91522686,-77.04147143
767979,767979,12,100%,94%,2,1.0,1.0,1.0,$83.00 ,,,3,120,64,"Dupont Circle, Connecticut Avenue/K Street",38.91639620000001,-77.03985229999999
4707791,4707791,1,100%,15%,1,1.0,1.5,1.0,$60.00 ,,,2,6,6,"Dupont Circle, Connecticut Avenue/K Street",38.91711567,-77.04028037
956049,956049,1,100%,100%,1,1.0,1.0,1.0,$67.00 ,,,2,1125,29,"Dupont Circle, Connecticut Avenue/K Street",38.91396968,-77.04644699
7509292,7509292,1,100%,100%,3,0.0,1.0,1.0,$125.00 ,,$10.00 ,2,1125,1,"Dupont Circle, Connecticut Avenue/K Street",38.91272625,-77.0409328
