id,id,host_listings_count,host_response_rate,host_acceptance_rate,accommodates,bedrooms,bathrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,neighbourhood_cleansed,latitude,longitude
7524042,7524042,3,100%,97%,6,1.0,1.0,6.0,$38.00 ,,,1,1125,2,"Shaw, Logan Circle",38.91107388,-77.02320663
5990979,5990979,30,92%,94%,9,3.0,2.5,5.0,$480.00 ,,$200.00 ,3,1125,5,"Shaw, Logan Circle",38.91285095,-77.03385691
1086168,1086168,1,80%,100%,6,2.0,2.0,3.0,$372.00 ,,$80.00 ,3,1125,33,"Shaw, Logan Circle",38.90950939,-77.0326777
6688513,6688513,1,100%,100%,3,1.0,1.0,2.0,$125.00 ,,$60.00 ,1,30,11,"Shaw, Logan Circle",38.91035119,-77.02361655
3890477,3890477,1,100%,79%,2,1.0,1.0,1.0,$89.00 ,$200.00 ,$30.00 ,1,1125,3,"Shaw, Logan Circle",38.90760295,-77.02877664
6262632,6262632,2,40%,71%,1,1.0,1.0,1.0,$80.00 ,,,1,1125,5,"Shaw, Logan Circle",38.90990321,-77.02164964
1519460,1519460,30,92%,94%,5,0.0,1.0,3.0,$90.00 ,,$100.00 ,3,999,29,"Shaw, Logan Circle",38.90633377,-77.02626349
5173258,5173258,4,92%,100%,3,0.0,1.0,2.0,$110.00 ,,$35.00 ,2,1125,32,"Shaw, Logan Circle",38.90712189,-77.01903730000001
3985441,3985441,1,88%,100%,3,2.0,1.0,3.0,$100.00 ,,$40.00 ,3,1125,1,"Shaw, Logan Circle",38.91206899,-77.02654477
5089898,5089898,1,100%,100%,4,2.0,2.0,2.0,$250.00 ,$250.00 ,$75.00 ,1,100,15,"Shaw, Logan Circle",38.90988182,-77.03371969
7150515,7150515,5,100%,100%,1,1.0,1.0,1.0,$55.00 ,$150.00 ,$75.00 ,1,1125,0,"Congress Heights, Bellevue, Washington Highlands",38.84693412,-76.99929432
7132107,7132107,5,100%,100%,3,1.0,1.0,2.0,$55.00 ,$150.00 ,$75.00 ,1,1125,5,"Congress Heights, Bellevue, Washington Highlands",38.84724289,-76.99915559
813573,813573,1,,,2,1.0,1.0,1.0,$400.00 ,$200.00 ,,2,4,0,"Congress Heights, Bellevue, Washington Highlands",38.82805248,-77.01045127
8473096,8473096,5,100%,100%,1,1.0,1.0,1.0,$35.00 ,,$25.00 ,1,1125,0,"Congress Heights, Bellevue, Washington Highlands",38.84824335,-76.99924952
